Name	Coefficient	Coefficient_std_error	Coefficient_P_value
DC	5.296673300195451e-07	2.4103465216627577e-07	0.013993313267873883
pro-B	3.9646360057949084e-07	2.397046373169825e-07	0.0490670917054687
pre-B	3.491601695666145e-07	2.28310996603617e-07	0.06309278604671917
CD8.Effector	7.551048847659544e-08	5.530431883119472e-08	0.08606944292598262
CD16.Mono	9.508577458428616e-08	8.951689576446654e-08	0.1440700975612288
CD4.Naive	6.029619893651738e-08	6.230975429989297e-08	0.16660091859693626
CD8.Naive	1.5382774283087445e-07	1.6116697047986267e-07	0.16992492743913845
CD4.Memory	6.03628318250455e-08	8.755251994197363e-08	0.24527097302879014
CD14.Mono	2.866489963604763e-08	5.231643758147869e-08	0.291875536388995
pDC	1.4144535948570235e-08	8.823883667250892e-08	0.4363230470357962
DN.T	4.236010502143203e-09	7.822928891919897e-08	0.4784083653956496
NK.CD56bright	-2.2405986396962144e-08	1.1499041100475035e-07	0.577245167769272
NK.CD56Dim	-6.952513791273227e-08	6.157862763655713e-08	0.8705609042282945
