Name	Coefficient	Coefficient_std_error	Coefficient_P_value
CD16.Mono	-1.7944910197695006e-08	2.9800948497763054e-07	0.5240081599748788
CD14.Mono	-3.618741062721479e-08	1.895837785367859e-07	0.5756894904666199
NK.CD56bright	-1.397746771295936e-07	4.638770839505501e-07	0.6184141249161914
DC	-1.7563349386084383e-07	3.0220014950821024e-07	0.7194413314413498
pre-B	-1.4196332099278594e-07	1.6878717705682074e-07	0.7998481123237453
DN.T	-2.8068002052130025e-07	3.2911459486034693e-07	0.8031242360941763
CD4.Memory	-2.592015084876391e-07	3.01181082551053e-07	0.805275443225395
CD4.Naive	-2.246085046585834e-07	2.09846802484866e-07	0.8577680079237331
pro-B	-2.2754779496341378e-07	2.0895396160090722e-07	0.8619198184521243
CD8.Effector	-2.886932592615628e-07	1.6787082261089787e-07	0.9572596508288788
CD8.Naive	-4.431697109238182e-07	2.3916112575944687e-07	0.9680600626880504
NK.CD56Dim	-3.316023007344316e-07	1.6409576114961293e-07	0.9783490020329088
pDC	-7.428542989834161e-07	2.889576507707635e-07	0.9949269046693939
