Name	Coefficient	Coefficient_std_error	Coefficient_P_value
pre-B	1.052873818401791e-06	4.066719522395506e-07	0.004812750116223724
pro-B	7.003971371314007e-07	3.634077118408184e-07	0.02697087762051677
CD8.Naive	7.099975222491449e-07	4.1901733715147753e-07	0.045091353772145834
DC	6.58229243753135e-07	5.009109687727282e-07	0.09441227590332063
CD8.Effector	4.02086583216038e-07	3.186882687655659e-07	0.10352973700657725
NK.CD56bright	6.870674659469562e-07	6.000359857559616e-07	0.12609551367424704
NK.CD56Dim	2.5175188299452866e-07	2.597893294501865e-07	0.166257208783275
DN.T	2.9897751162580956e-07	3.603011506471262e-07	0.20332623611341794
CD16.Mono	2.4820163353074026e-07	3.128194088950915e-07	0.2137624308499546
CD14.Mono	1.2329459774770458e-07	1.6578817762739427e-07	0.2285327723383938
pDC	1.0378679417616527e-07	4.310086859210544e-07	0.40485515238184605
CD4.Naive	1.75278420534356e-08	2.3656728086905558e-07	0.4704684237931497
CD4.Memory	-1.3222004768139646e-07	3.713699490433543e-07	0.6390921654323466
