Name	Coefficient	Coefficient_std_error	Coefficient_P_value
CD8.Naive	1.5516207251721322e-08	6.386364499555348e-08	0.4040188226216873
pro-B	1.3290788418371827e-08	6.912354874357398e-08	0.42376307097975485
CD14.Mono	7.926056992533146e-09	4.629435305991468e-08	0.4320293155281035
DN.T	1.2901352904828583e-08	9.055947289952943e-08	0.4433572442886267
CD4.Memory	2.422976993630947e-09	1.1365541491526697e-07	0.4914957439250231
CD4.Naive	-4.196673811563635e-10	7.145186083934246e-08	0.5023431454056415
NK.CD56bright	-1.689865263248161e-08	1.0982386414241901e-07	0.5611440767598848
pre-B	-3.469388226965587e-08	7.865076631595853e-08	0.6704344349418041
pDC	-5.4281576103964685e-08	7.183891450502435e-08	0.7750558573292081
CD8.Effector	-5.5701720009382824e-08	3.531024093611218e-08	0.9426591364319471
DC	-1.4427646825800273e-07	8.539110169017754e-08	0.9544473690779278
NK.CD56Dim	-9.664025720928771e-08	4.459207320183775e-08	0.9848904664973591
CD16.Mono	-1.3403977304815186e-07	5.997997174700374e-08	0.9872828602563476
