Name	Coefficient	Coefficient_std_error	Coefficient_P_value
CD4.Naive	4.779048684035421e-08	4.567871456744984e-08	0.14772719871019174
DN.T	5.2567114225531734e-08	6.16079257371117e-08	0.1967596584643635
CD4.Memory	5.958603648649238e-08	7.417886849331269e-08	0.21090787923392768
DC	6.026495316504232e-08	9.181431744613936e-08	0.2557902779772128
CD8.Naive	6.426062866661897e-09	4.9366964247094774e-08	0.448216243975123
CD16.Mono	-2.0144796797843144e-09	5.5577320090988774e-08	0.514457069450323
CD8.Effector	-2.004485269816562e-09	3.5546118826031094e-08	0.5224848824988916
pDC	-1.5622076913899846e-08	7.304495718648455e-08	0.5846755256089377
pro-B	-1.877311843123324e-08	5.0566295558419403e-08	0.6447771396382438
NK.CD56Dim	-1.6279823727158592e-08	4.0646810138176325e-08	0.6556128899953918
pre-B	-2.242631256811278e-08	4.665826452073562e-08	0.6846174985941068
NK.CD56bright	-1.0632310054497546e-07	6.25235969005515e-08	0.955484132828093
CD14.Mono	-8.406232346676303e-08	3.0538236183132495e-08	0.9970446158807305
