Name	Coefficient	Coefficient_std_error	Coefficient_P_value
pDC	3.5394335650309506e-07	2.9459809975715205e-07	0.11478935241762944
CD8.Effector	8.156658180902722e-08	1.1939117430168263e-07	0.24724412185137312
CD14.Mono	1.260117515102841e-07	3.0767770379256094e-07	0.3410652412792312
pre-B	2.2034403237738355e-08	1.5931409473824916e-07	0.44499852783019683
NK.CD56Dim	-3.7624863465935734e-10	1.491967765480124e-07	0.5010060628163958
CD8.Naive	-8.36777859428761e-08	1.83581346089108e-07	0.6757358565597451
NK.CD56bright	-1.2603187791401168e-07	2.5067209846458237e-07	0.6924390634286168
DC	-1.201384723371513e-07	2.2952644144034858e-07	0.6996586048835429
pro-B	-1.040923691200246e-07	1.382934951604605e-07	0.7741824074840146
CD4.Memory	-1.900672417969461e-07	1.7148365955279137e-07	0.8661488438925616
CD4.Naive	-2.999606039407503e-07	1.434874313230612e-07	0.9817135860662572
DN.T	-3.683329092057212e-07	1.6594333783083752e-07	0.9867780730647088
CD16.Mono	-3.612678380071602e-07	1.6253042462658195e-07	0.9868843613693743
