Name	Coefficient	Coefficient_std_error	Coefficient_P_value
DC	9.181437977077905e-07	5.214082422985762e-07	0.03912831043784245
CD14.Mono	2.7973439530745045e-07	2.05422604530216e-07	0.08663827224426329
DN.T	2.1982923737491088e-07	3.18390422857455e-07	0.24495900779714658
pDC	2.1651153589893755e-07	4.152334792818087e-07	0.3010366957607593
pro-B	9.554968297192829e-08	1.9036243798512377e-07	0.3078564140299206
CD4.Memory	1.3569003629636782e-07	3.848203794235421e-07	0.3621918594102025
CD4.Naive	6.712426922372916e-08	2.391609136727036e-07	0.38948340317775737
NK.CD56bright	8.516889771541198e-08	4.854581299048278e-07	0.4303668563853914
NK.CD56Dim	7.52959515747504e-09	1.998945787170931e-07	0.4849762625668163
CD8.Effector	-1.7902288710283465e-08	1.6550675101452945e-07	0.5430681974677611
pre-B	-8.128779233667605e-08	1.8103881692891645e-07	0.6732868882871863
CD8.Naive	-1.2056148788389366e-07	2.514911020251045e-07	0.684168221043717
CD16.Mono	-4.4443071489835034e-07	2.3664849279033794e-07	0.9698108179396392
