Name	Coefficient	Coefficient_std_error	Coefficient_P_value
pro-B	5.995473767307535e-07	2.7735847727705677e-07	0.015323218473470592
pre-B	4.580882157550558e-07	2.477629433001323e-07	0.032236327991673426
CD14.Mono	1.1603088052056825e-07	1.0523987099885028e-07	0.1351140814514929
CD4.Memory	2.1077252582976192e-07	2.1684270658224002e-07	0.1655236510765133
CD16.Mono	1.9869907020591075e-08	1.7148991064726883e-07	0.45387923932492996
CD4.Naive	1.2985001283459368e-08	1.4764634140422002e-07	0.464959538978078
DC	2.2080185552405235e-08	3.823812403849813e-07	0.4769763109287312
DN.T	-7.913775631623326e-08	2.085733263318638e-07	0.6478135387714921
CD8.Naive	-1.1823305576051512e-07	1.5908465771475626e-07	0.7713222442288137
pDC	-1.5234973372726786e-07	2.0458383308102344e-07	0.7717677656459228
CD8.Effector	-1.0398494140515754e-07	9.592998178101688e-08	0.8608103004318748
NK.CD56bright	-2.9689233381525264e-07	1.6060983263427448e-07	0.9677372536340452
NK.CD56Dim	-1.9066266403756106e-07	8.696868940566642e-08	0.9858215745333716
