Name	Coefficient	Coefficient_std_error	Coefficient_P_value
CD8.Naive	3.328880316187733e-07	1.7556377206354205e-07	0.028972822652851303
CD4.Memory	4.4664404265805066e-07	3.1335767538575615e-07	0.07702817429959342
NK.CD56Dim	1.8255635328417026e-07	1.328901283702709e-07	0.08476136089121877
CD14.Mono	8.433143693574162e-08	8.056479832191495e-08	0.14760677742808026
NK.CD56bright	4.434131121502539e-07	4.327727259247005e-07	0.15277915785771662
CD8.Effector	1.0708513331541715e-07	1.1359707028028207e-07	0.17292354828894307
pDC	1.2976839591827364e-07	1.8218915789064416e-07	0.23814790766823507
DC	1.607167315259113e-07	2.640040509518415e-07	0.27133972442851256
pre-B	7.101018803310587e-09	1.1181836735262155e-07	0.4746822124839827
pro-B	-2.4637472036245452e-08	1.0980004891042727e-07	0.5887710869990739
CD16.Mono	-7.312334489750304e-08	1.9946467303700051e-07	0.6430405399335829
CD4.Naive	-3.9008255122510544e-08	1.0597507611814375e-07	0.6435965472095814
DN.T	-1.2108559530704557e-07	1.0305211357849433e-07	0.8800014033699166
