Name	Coefficient	Coefficient_std_error	Coefficient_P_value
pDC	8.992448609399924e-08	1.0600862848180069e-07	0.19814237449954825
CD14.Mono	2.000653200170524e-08	5.5204624898439036e-08	0.35852402566099145
pro-B	8.165260050546035e-09	5.821876514876235e-08	0.44423070310884405
CD8.Effector	-1.8283854768847386e-08	4.637301712345403e-08	0.65331205283507
NK.CD56Dim	-2.3565743853178404e-08	4.448542754398261e-08	0.7018541556193165
DC	-5.271611032270033e-08	9.831127855581752e-08	0.704095466263521
NK.CD56bright	-7.461418435109583e-08	1.1242353944766095e-07	0.7465550756214863
pre-B	-4.3499969716824474e-08	6.013736317589908e-08	0.7652655577318729
CD4.Memory	-8.757705345761005e-08	7.42064719229197e-08	0.8810358433181089
CD16.Mono	-9.695725511926519e-08	7.221678999761192e-08	0.9102969757008492
CD8.Naive	-8.719834745639469e-08	6.330746155786567e-08	0.9158023986199588
CD4.Naive	-8.608152448927178e-08	4.819008343476838e-08	0.9629739437300366
DN.T	-1.2276153732050825e-07	6.442559472814227e-08	0.9716410015288903
