Name	Coefficient	Coefficient_std_error	Coefficient_P_value
pro-B	1.3145653435850187e-07	9.218145147147546e-08	0.07692511466715898
pre-B	1.2323612763874282e-07	8.753393601887477e-08	0.07958524891781255
NK.CD56Dim	1.4021994344270902e-07	1.0959331002898328e-07	0.10036806096907608
CD8.Naive	1.9990664433553923e-07	1.8388152961743531e-07	0.1384854548214982
CD8.Effector	6.582262354563081e-08	8.183299271711666e-08	0.21059653185251537
DN.T	6.944841315944993e-08	1.000501559941159e-07	0.2437984679930073
pDC	6.551238534902361e-08	9.953247427916088e-08	0.2552044548679818
DC	2.2316785870507004e-08	1.28589152053157e-07	0.431109141525649
CD4.Memory	8.375216700966686e-09	8.583468914997337e-08	0.4611353653120095
CD16.Mono	-6.739070996104434e-09	7.818764505215291e-08	0.5343427058587009
NK.CD56bright	-1.3688191721862316e-08	1.0699213735030913e-07	0.5509003581589698
CD4.Naive	-1.4791806253518383e-08	5.8682994392961674e-08	0.5995037804582175
CD14.Mono	-1.4930923981372722e-08	4.988196268864044e-08	0.6176540014231816
