Name	Coefficient	Coefficient_std_error	Coefficient_P_value
pre-B	3.8924144951925203e-07	4.3675224452855833e-07	0.18640612239919113
pro-B	2.949532025073787e-07	4.287282992009561e-07	0.2457351063423786
CD8.Naive	1.0594481926082079e-07	2.1417040153465185e-07	0.3104146506186303
DN.T	-2.3768488538904574e-08	3.3729915040936464e-07	0.5280890518669679
pDC	-7.394099620408576e-08	4.1998511976580256e-07	0.5698751158368401
DC	-1.1816026948500408e-07	2.758703705732816e-07	0.6657902239302343
CD16.Mono	-1.4642979833208838e-07	2.7941434780471447e-07	0.6998814901636105
CD4.Naive	-1.0540691576222816e-07	1.8694327994431186e-07	0.7135699735700896
NK.CD56Dim	-1.019426852060248e-07	1.4969678563373637e-07	0.7520625094668352
NK.CD56bright	-3.144909440708196e-07	4.5394765916765846e-07	0.7557797026063675
CD4.Memory	-1.8163574241648437e-07	2.50933876469023e-07	0.7654177282931829
CD8.Effector	-1.3600917720556655e-07	1.6172435443158207e-07	0.7998242923398979
CD14.Mono	-1.9361071568239105e-07	1.3172849868514622e-07	0.929188095166009
