Name	Coefficient	Coefficient_std_error	Coefficient_P_value
NK.CD56bright	1.6785612970905452e-07	1.310412978924771e-07	0.10010725072302906
CD4.Naive	3.979857329594616e-08	4.400814238013046e-08	0.18290606683834698
CD16.Mono	6.851296637423273e-08	7.98876664922943e-08	0.19555218080064668
DN.T	7.142374434212236e-09	6.269190556224286e-08	0.4546473649855517
CD8.Effector	-3.936097793376801e-09	3.489247380445468e-08	0.5449080169066499
NK.CD56Dim	-1.1247309330543926e-08	4.2923470754759717e-08	0.6033514925193472
DC	-3.075906373059586e-08	9.294549628721348e-08	0.629653800963303
pDC	-3.017841918733727e-08	6.669066285132608e-08	0.6745504181768223
CD4.Memory	-3.2195727304042604e-08	5.4235371060484516e-08	0.7236200955926416
CD8.Naive	-2.6879552237145154e-08	3.849972602035665e-08	0.7574661694210996
CD14.Mono	-5.651369442813108e-08	3.577461022998686e-08	0.9429139448508082
pre-B	-8.059276759177593e-08	5.002844700341682e-08	0.9464034715631637
pro-B	-1.0245022320744009e-07	4.562159272224339e-08	0.9876368481165508
