Name	Coefficient	Coefficient_std_error	Coefficient_P_value
CD14.Mono	2.0476952204048358e-08	3.363385447331431e-08	0.27132198686457076
pDC	3.1668139295329416e-08	6.859691357785117e-08	0.32216421023648556
NK.CD56bright	8.23541666147081e-09	6.807085075944717e-08	0.45185224478066643
DN.T	-4.196402607063055e-09	5.021976139953623e-08	0.5332971759406441
CD4.Memory	-2.5140053683364565e-08	5.39018689883064e-08	0.6795368679109393
NK.CD56Dim	-1.6504323495580998e-08	3.100194715509893e-08	0.7027630755429176
CD4.Naive	-1.985653106255685e-08	3.470645134031817e-08	0.716382354524057
DC	-4.807532151130185e-08	6.62715630566463e-08	0.7659055923431587
CD16.Mono	-5.965342685498067e-08	5.043406320336188e-08	0.8815558561137768
CD8.Effector	-3.698208714958708e-08	2.8556575282496932e-08	0.9023478709621375
pro-B	-5.561936982668015e-08	3.973368194937977e-08	0.9192140010844546
CD8.Naive	-7.198340438991064e-08	4.554420439779227e-08	0.9430057794710491
pre-B	-1.1906465445393612e-07	3.961471897050806e-08	0.9986745649239028
