Name	Coefficient	Coefficient_std_error	Coefficient_P_value
CD8.Effector	8.94529831965677e-07	3.6916758287142017e-07	0.0076943528952804425
NK.CD56Dim	6.194197141679674e-07	2.9961086940712956e-07	0.019347578797744576
CD14.Mono	5.361818344817215e-07	2.6793599238052486e-07	0.022687767236068634
NK.CD56bright	1.2688487652500789e-06	7.806247527190802e-07	0.052035773990258785
CD16.Mono	8.046763924001423e-07	6.849626940203919e-07	0.12004256402550628
pre-B	5.149507755731177e-07	4.5569665636595765e-07	0.1292318458815298
CD8.Naive	3.678541603092936e-07	3.3282055384075265e-07	0.13452287702531313
pro-B	4.048206542530271e-07	3.7867699815219685e-07	0.14252594414582087
DC	8.518143179351156e-07	8.079996470294573e-07	0.14588970628615106
CD4.Memory	2.9803271449360715e-07	3.602356693748057e-07	0.20402585729715944
CD4.Naive	8.782062892217659e-08	2.2833015101055482e-07	0.3502590225887359
DN.T	8.376519061219453e-08	3.131060177955594e-07	0.39453063611964234
pDC	-3.0733176619811517e-07	3.8871614614802726e-07	0.7854208730351757
