Name	Coefficient	Coefficient_std_error	Coefficient_P_value
ELF3_AGBL2.positive.cells_Q_	1.169253000547423e-06	7.782221629743905e-07	0.06648829171093856
Myeloid.cells	3.2886304721301855e-07	3.464220860596998e-07	0.171230679690151
Epicardial.fat.cells	8.24209344052329e-08	1.4479720493557584e-07	0.28460466801964523
Cardiomyocytes_S_Vascular.endothelial.cells	3.412742300323145e-08	8.352602146251436e-08	0.34142236837103507
Smooth.muscle.cells	3.2410599752946e-07	1.0342220764619944e-06	0.37699544388759876
Heart_Unknown.10	-1.8012409691244134e-07	5.480062030851443e-07	0.6288049504560902
Cardiomyocytes	-5.25461114239807e-07	1.4899636449410847e-06	0.6378309755951616
Erythroblasts	-1.31506581588637e-07	3.2776238507349105e-07	0.655872895144765
Vascular.endothelial.cells	-2.1455698256227116e-07	2.709170590681336e-07	0.7858096233619589
Lymphatic.endothelial.cells	-1.4612109551788967e-07	1.0420052994299281e-07	0.919588151473077
Schwann.cells	-2.2896080286410842e-07	1.5932422198955763e-07	0.9246516103756772
Endocardial.cells	-1.0862215621206818e-06	3.1881434979500425e-07	0.999671673883351
Lymphoid.cells	-3.0982155247846217e-06	6.610280520028873e-07	0.9999986135700293
