Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Endocardial.cells	9.232953401288483e-07	9.649517661955609e-07	0.16932639202923594
Cardiomyocytes	1.1118765299412529e-06	2.713675610026028e-06	0.3410017099086471
Lymphatic.endothelial.cells	6.626956611559886e-08	1.7555389937773174e-07	0.3529053299712988
Lymphoid.cells	8.329292908630041e-07	5.237399915877417e-06	0.4368206948490791
Myeloid.cells	1.6733530275334414e-08	3.210979704996124e-07	0.47921913900089547
Epicardial.fat.cells	1.4379966830807096e-09	1.694061986731991e-07	0.49661363756908067
Heart_Unknown.10	-1.713284873302016e-08	4.829330081378156e-07	0.5141501702051153
ELF3_AGBL2.positive.cells_Q_	-2.0395186982389182e-07	5.417465486464153e-07	0.6467166178445222
Cardiomyocytes_S_Vascular.endothelial.cells	-3.83226841855629e-08	7.910467768970386e-08	0.6859686269515222
Vascular.endothelial.cells	-2.1869633005138572e-07	3.1159783785044225e-07	0.7586150320183109
Smooth.muscle.cells	-4.01070919119343e-07	4.2703427407050265e-07	0.8261861631708118
Erythroblasts	-2.4329579731459515e-07	2.457418285103406e-07	0.8389242646945323
Schwann.cells	-2.473023643894634e-07	1.6283923519848174e-07	0.9355797633392698
