Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Lymphoid.cells	6.300709104004321e-06	1.5490100843052451e-06	2.3752828355380663e-05
Epicardial.fat.cells	2.690329247784874e-07	1.9026120851754534e-07	0.07867819205949012
Erythroblasts	4.4469165134113103e-07	4.4655060700024264e-07	0.15966465601482477
ELF3_AGBL2.positive.cells_Q_	5.672693873962752e-07	6.709773836045328e-07	0.1989333298659689
Cardiomyocytes_S_Vascular.endothelial.cells	6.874078757939758e-08	8.15883289149322e-08	0.199745084755642
Vascular.endothelial.cells	5.215227290531562e-07	1.0062243964328764e-06	0.3021256566014844
Cardiomyocytes	2.784928754501893e-07	2.4135626682740814e-06	0.45406933583371567
Schwann.cells	-1.4776520208355867e-08	2.149465731766049e-07	0.527403734351913
Smooth.muscle.cells	-1.1404772781255105e-07	5.026757640297979e-07	0.589741975998665
Lymphatic.endothelial.cells	-5.7358630217539606e-08	1.5637928125666802e-07	0.6431128189834151
Heart_Unknown.10	-4.453726510608647e-07	6.195296527702016e-07	0.7638951430446635
Myeloid.cells	-2.041323271245234e-07	2.2558786353390755e-07	0.8172383144895591
Endocardial.cells	-5.66294311172377e-07	6.040530315715522e-07	0.8257469874467271
