Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Endocardial.cells	8.216805644846372e-07	7.48679735400951e-07	0.1362101113452291
Vascular.endothelial.cells	4.359651419365434e-07	4.259177997351317e-07	0.15301451779851893
Smooth.muscle.cells	3.126418482083437e-07	3.797567390605814e-07	0.20517759593513168
Myeloid.cells	7.073701626960255e-08	5.282639810936298e-07	0.4467389770572936
Cardiomyocytes_S_Vascular.endothelial.cells	8.003371157533776e-10	9.20041385863339e-08	0.4965296747279716
Heart_Unknown.10	-8.402371511370023e-08	7.110418698301381e-07	0.5470334628562668
Lymphoid.cells	-2.157205677497627e-06	3.701900811073015e-06	0.7199621916384418
Schwann.cells	-1.1269376685027634e-07	1.8692849733490023e-07	0.7267027394370156
Erythroblasts	-2.6907180388334513e-07	2.980535430705843e-07	0.816674236898512
ELF3_AGBL2.positive.cells_Q_	-2.2851930576424628e-07	2.511336998802111e-07	0.8185757657497591
Cardiomyocytes	-1.0552145250507215e-06	6.010236693505474e-07	0.9604297884158866
Epicardial.fat.cells	-2.451530119203463e-07	1.3298828907692146e-07	0.9673660013239331
Lymphatic.endothelial.cells	-2.956177110327504e-07	1.1157508685351643e-07	0.9959693999033662
