Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Vascular.endothelial.cells	2.1547045417005961e-07	4.645488571115082e-07	0.32138573191454467
Cardiomyocytes_S_Vascular.endothelial.cells	4.4215838332755985e-08	1.2721715918412642e-07	0.36408460957978867
Lymphatic.endothelial.cells	9.192894638536472e-08	2.8663584168481346e-07	0.3742124855954393
Erythroblasts	-9.836705328797739e-08	4.590371720328061e-07	0.5848395231700666
Heart_Unknown.10	-9.464735528567034e-08	3.080600947122706e-07	0.6206683791786167
Myeloid.cells	-1.4953737032286817e-07	3.790138373207574e-07	0.6534100174324623
Smooth.muscle.cells	-2.3375875122991036e-07	5.1462916098559e-07	0.6751674778794621
Cardiomyocytes	-1.1456523962111731e-06	1.4958276428453171e-06	0.7781317001312276
Lymphoid.cells	-4.497405886446194e-06	4.703185557547204e-06	0.8305262060977584
Schwann.cells	-2.2843516520027597e-07	1.9618258206106535e-07	0.8778691982423894
Epicardial.fat.cells	-1.9717498824483868e-07	1.3764523086078347e-07	0.9239977358507214
Endocardial.cells	-8.958217475330154e-07	4.2018699896202595e-07	0.9834949200895735
ELF3_AGBL2.positive.cells_Q_	-1.0501062257040273e-06	2.9335529320666333e-07	0.9998279658004259
