Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Cardiomyocytes_S_Vascular.endothelial.cells	1.5882727871275856e-07	1.0738932092533947e-07	0.06957205751061335
Endocardial.cells	6.839370472883223e-07	6.085349672485108e-07	0.13052612292529853
Smooth.muscle.cells	6.534919096143487e-07	6.449897393520163e-07	0.15548664954605046
Schwann.cells	1.828163443270776e-07	2.3371943626083876e-07	0.21704726358101567
Epicardial.fat.cells	6.653361373061578e-08	1.37696453973781e-07	0.31448025219035725
ELF3_AGBL2.positive.cells_Q_	2.1804218124934928e-07	6.942126824474244e-07	0.376728027065354
Erythroblasts	2.4703328845940892e-11	2.9662115973514253e-07	0.49996677512035653
Heart_Unknown.10	-2.615352791772681e-08	1.8526636480811193e-07	0.5561310585088615
Lymphoid.cells	-7.241399233432463e-07	4.569974170266613e-06	0.5629512635549203
Lymphatic.endothelial.cells	-4.736157158507917e-08	1.3301245071667e-07	0.6391054448711376
Cardiomyocytes	-2.8469753161747886e-07	3.50700251474885e-07	0.7915460359468656
Vascular.endothelial.cells	-3.0286559293027554e-07	2.7649426280918726e-07	0.8633243552611398
Myeloid.cells	-3.4482961243167263e-07	2.995044221883595e-07	0.8752025644209191
