Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Smooth.muscle.cells	6.246010623425661e-07	8.026899578309621e-07	0.21824474787832343
Lymphatic.endothelial.cells	1.1121338378227127e-07	1.8714380445082868e-07	0.27616677951115376
Schwann.cells	9.007116379841428e-08	2.2289741201162545e-07	0.3430723642607348
Cardiomyocytes_S_Vascular.endothelial.cells	2.283717439078034e-08	1.446421531119398e-07	0.4372727609685571
Endocardial.cells	1.6080507127051877e-07	1.2215916992023987e-06	0.44763622567259187
Erythroblasts	4.846998360540819e-08	4.308235102382022e-07	0.45521133289559096
Heart_Unknown.10	-3.047453090665611e-08	9.462401316993529e-07	0.5128460811277887
ELF3_AGBL2.positive.cells_Q_	-6.100927257560726e-08	5.710652704543772e-07	0.5425397225080641
Cardiomyocytes	-7.660156722100361e-07	1.22122801440959e-06	0.7347524209708582
Lymphoid.cells	-3.0563571971707328e-06	4.710865598493881e-06	0.7417625757437167
Epicardial.fat.cells	-1.0254401288133684e-07	1.096670558036525e-07	0.8251183399106135
Myeloid.cells	-4.977403636760736e-07	4.441269087586334e-07	0.8687957260330654
Vascular.endothelial.cells	-4.089598202463359e-07	3.6035547470246705e-07	0.8717869664999174
