Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Myeloid.cells	3.712437060383721e-07	4.223441176332108e-07	0.18969856674893476
Lymphatic.endothelial.cells	1.861342340400973e-07	2.1485114139876514e-07	0.1931517456567779
Cardiomyocytes_S_Vascular.endothelial.cells	8.273633952569606e-08	1.1191886968824466e-07	0.22987674759229854
Endocardial.cells	5.671982014099716e-08	9.137368217844411e-07	0.47525172413886824
Heart_Unknown.10	1.0471057368423647e-08	5.785219076184381e-07	0.4927796693969967
Cardiomyocytes	-6.983359303355779e-09	1.8751257745130836e-06	0.5014857407877088
Smooth.muscle.cells	-3.791510339912351e-08	5.421840090370902e-07	0.5278754414141401
Erythroblasts	-7.963442660843088e-08	4.4590299440907996e-07	0.5708707143117612
ELF3_AGBL2.positive.cells_Q_	-1.1412928951969984e-07	5.661486929501482e-07	0.5798809363178489
Epicardial.fat.cells	-3.229437960914946e-08	1.393262891556721e-07	0.5916492678881629
Vascular.endothelial.cells	-2.769398097578931e-07	3.2413115240631083e-07	0.8035601417144522
Lymphoid.cells	-2.8079887899301814e-06	3.090849498017323e-06	0.8181888442955134
Schwann.cells	-2.9655092712402327e-07	1.7154738053577213e-07	0.9580670180883103
