Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Myeloid.cells	8.774895266714896e-07	5.161799209193371e-07	0.04456843981933648
Erythroblasts	3.3183816116578646e-07	3.2387920581470317e-07	0.1527821569283832
Endocardial.cells	3.8008026951289795e-07	3.9519291192056896e-07	0.16808538348566315
Schwann.cells	1.485356749587944e-07	1.737728417644992e-07	0.19633946297269356
Lymphatic.endothelial.cells	1.0640573012229617e-07	1.4084895254250097e-07	0.22498655373151155
Smooth.muscle.cells	3.3170630666406625e-07	4.480843761062705e-07	0.22956613687738042
Cardiomyocytes_S_Vascular.endothelial.cells	4.778298585231529e-08	9.304347082310084e-08	0.3037814004959756
Lymphoid.cells	1.735474931626881e-06	6.718264833865143e-06	0.3980792432535951
Vascular.endothelial.cells	-5.400900072802535e-08	2.739468587679982e-07	0.5781454607807063
Heart_Unknown.10	-4.822604995535218e-07	1.041217901754555e-06	0.6783786046921264
Cardiomyocytes	-6.218388042512586e-07	8.83585317773395e-07	0.7592112731760068
ELF3_AGBL2.positive.cells_Q_	-1.970451216267505e-07	2.08927198664597e-07	0.827192319754281
Epicardial.fat.cells	-1.7064568862500267e-07	1.1609651992958355e-07	0.9292002300102835
