Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Erythroblasts	7.407605305411743e-07	5.16976227281158e-07	0.0759472738432517
Cardiomyocytes_S_Vascular.endothelial.cells	4.7459353175183935e-08	7.860213864243599e-08	0.2729909242734446
Endocardial.cells	6.439252838663872e-07	1.1173565420926538e-06	0.28220841642892475
Smooth.muscle.cells	-2.0184758011339408e-07	4.7380125443611965e-07	0.6649524176485715
ELF3_AGBL2.positive.cells_Q_	-2.00671893961285e-07	4.314243801208007e-07	0.6790836997086231
Epicardial.fat.cells	-8.916337591691237e-08	1.317011233745039e-07	0.7508011547877813
Cardiomyocytes	-6.477930252810874e-07	9.216219743585023e-07	0.7589358721252568
Myeloid.cells	-2.3270092481369315e-07	2.991366405769849e-07	0.7816885111356617
Schwann.cells	-1.8768580849287574e-07	1.8010019554025672e-07	0.8513217096816389
Vascular.endothelial.cells	-3.476084532786613e-07	2.9719949183121995e-07	0.8789216716843236
Heart_Unknown.10	-3.045122934106981e-07	1.8470123102502146e-07	0.9503928779539589
Lymphoid.cells	-1.9620240078000484e-06	6.262400899208875e-07	0.9991349177684025
Lymphatic.endothelial.cells	-3.568269358292148e-07	9.567604562095177e-08	0.999904082375061
