Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Smooth.muscle.cells	1.7557135936580276e-06	8.96052933106535e-07	0.02503379809689267
Epicardial.fat.cells	1.9922115713621292e-07	2.0097567902363782e-07	0.16077688399695617
Vascular.endothelial.cells	6.767631388950595e-08	3.429507889737023e-07	0.42178255904294865
Erythroblasts	-6.619092179830226e-09	2.619848288358043e-07	0.5100782737483172
Heart_Unknown.10	-3.886917608779665e-08	9.419678115751511e-07	0.5164572060448277
Myeloid.cells	-1.6522877245538828e-07	3.4055926731811573e-07	0.6862217371883855
Cardiomyocytes_S_Vascular.endothelial.cells	-4.569017115385922e-08	8.521223245130292e-08	0.7040872872427719
Schwann.cells	-1.0006887471157095e-07	1.6968443428601363e-07	0.7223158859196541
Cardiomyocytes	-5.179326987202555e-07	7.438569863696717e-07	0.7568732337196524
Endocardial.cells	-5.14745071646795e-07	5.918293857550759e-07	0.8077821551437042
Lymphoid.cells	-8.793226481142899e-07	8.694918999329517e-07	0.8440650774261452
ELF3_AGBL2.positive.cells_Q_	-3.4577283599157194e-07	3.14477307115555e-07	0.8642284741219104
Lymphatic.endothelial.cells	-3.2649417618060496e-07	1.1440938004328105e-07	0.9978395795000551
