Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Erythroblasts	4.083122979195058e-06	4.028403298721573e-06	0.15539077513998162
Myeloid.cells	3.0001109811275757e-06	3.102158462231604e-06	0.16674593251461584
Endocardial.cells	3.853309247944401e-06	4.739531077991144e-06	0.20810476603887845
Lymphatic.endothelial.cells	4.22323436972417e-07	8.234309972632961e-07	0.30401672016924774
Cardiomyocytes	-9.433226663906941e-07	9.215367710413651e-06	0.5407661543068716
Cardiomyocytes_S_Vascular.endothelial.cells	-1.0872891607927176e-07	8.864140310910809e-07	0.5488124424329595
Epicardial.fat.cells	-2.0206349207717943e-07	6.195622111950684e-07	0.6278404607025301
ELF3_AGBL2.positive.cells_Q_	-3.9458125844139447e-07	9.231374324683647e-07	0.6654687443112386
Smooth.muscle.cells	-9.546729586573612e-07	1.5278964477791718e-06	0.7339581266885443
Vascular.endothelial.cells	-1.6149808548612241e-06	1.7331690701650692e-06	0.8242821276901928
Heart_Unknown.10	-1.146036765918408e-06	8.247946598774211e-07	0.917656780075087
Lymphoid.cells	-8.265422573847851e-06	4.194800684626539e-06	0.9756035539180052
Schwann.cells	-1.4904436185158242e-06	4.968383635721399e-07	0.9986494642915313
