Name	Coefficient	Coefficient_std_error	Coefficient_P_value
ELF3_AGBL2.positive.cells_Q_	1.091419868148694e-06	8.359347537370776e-07	0.09583953715502314
Myeloid.cells	4.2328285594186516e-07	3.8761265125139805e-07	0.1374109710914848
Lymphoid.cells	2.032208331136391e-06	3.562131050433395e-06	0.2841681150006163
Schwann.cells	1.1056635842432155e-07	2.395443183189913e-07	0.32219502469140227
Heart_Unknown.10	1.218115663681733e-07	2.8663932091762377e-07	0.33543123792327034
Cardiomyocytes	-5.1584751246547784e-08	1.102266413382503e-06	0.5186632093798117
Endocardial.cells	-9.364530898520024e-08	5.935186309941785e-07	0.5626848802995305
Vascular.endothelial.cells	-3.0964068840008116e-07	4.122294956683774e-07	0.7737147939289983
Smooth.muscle.cells	-2.9918848794609963e-07	3.0909835195727204e-07	0.8334626940168222
Epicardial.fat.cells	-1.3323432492507512e-07	1.0534941879251663e-07	0.8970087083012648
Erythroblasts	-4.400509006922806e-07	2.1717418435824784e-07	0.978630817046598
Cardiomyocytes_S_Vascular.endothelial.cells	-1.375006946717272e-07	6.471423849220536e-08	0.9831956905931684
Lymphatic.endothelial.cells	-2.640189131703817e-07	1.1714842431566583e-07	0.987892881835136
