Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Lymphatic.endothelial.cells	5.348792877629795e-07	3.607497861694072e-07	0.06907869576433551
Vascular.endothelial.cells	5.14250624666524e-07	5.342990630621577e-07	0.1679049948850158
ELF3_AGBL2.positive.cells_Q_	1.899012303692213e-07	1.9977134799757358e-07	0.17090553033034012
Erythroblasts	7.373518040805576e-07	8.554283868744295e-07	0.19435259314158193
Schwann.cells	1.2201212471282835e-07	1.5616865300811676e-07	0.21731763599997111
Lymphoid.cells	4.739870389339186e-06	6.126947138624372e-06	0.21958059252804596
Myeloid.cells	2.1186515236676955e-07	3.1064765216526926e-07	0.24761596054918633
Heart_Unknown.10	5.409535477939015e-07	8.82471456066701e-07	0.26993871487553284
Endocardial.cells	2.8995975740422117e-07	6.296614379652015e-07	0.32257830667581544
Cardiomyocytes	2.5619123756272317e-07	8.189956698688298e-07	0.3772119511641098
Cardiomyocytes_S_Vascular.endothelial.cells	2.314356083639743e-08	1.0378519251122999e-07	0.41176976709826757
Smooth.muscle.cells	-2.2981425456280624e-07	4.800656522424164e-07	0.683929026122656
Epicardial.fat.cells	-1.089332994316882e-07	1.011884069198953e-07	0.8591569386470082
