Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Cardiomyocytes	1.7101750636505554e-06	1.9707844198754418e-06	0.19276186910598808
Lymphoid.cells	3.14276756364598e-05	5.338347570293782e-05	0.27802609403572615
ELF3_AGBL2.positive.cells_Q_	4.696303559648513e-06	9.347494383176973e-06	0.307688485684544
Lymphatic.endothelial.cells	4.5144424499664836e-07	1.8107376080800013e-06	0.4015585222975856
Erythroblasts	3.380239288396921e-07	2.8333709888841237e-06	0.4525184545149529
Myeloid.cells	-1.3379260296350808e-07	1.8323871933001544e-06	0.5291030944623394
Schwann.cells	-3.149125748790969e-07	9.095139957308278e-07	0.6354198337284651
Vascular.endothelial.cells	-9.91553471601934e-07	1.8254032209472392e-06	0.706502898614134
Cardiomyocytes_S_Vascular.endothelial.cells	-3.353179629035561e-07	5.939680576479404e-07	0.7138062193660524
Heart_Unknown.10	-5.005071582998061e-07	7.024856482881432e-07	0.7619162849403396
Epicardial.fat.cells	-4.353783188326624e-07	4.1856534496529274e-07	0.8508690949572748
Endocardial.cells	-3.361317472153672e-06	1.8299127837131606e-06	0.966885680512594
Smooth.muscle.cells	-3.2315298681579202e-06	1.4996981516668347e-06	0.984410741438672
