Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Heart_Unknown.10	8.937281937663863e-07	3.233181320521938e-07	0.0028527972993406116
Erythroblasts	1.0503638776817502e-06	1.0660245475097995e-06	0.16223608826895863
Cardiomyocytes_S_Vascular.endothelial.cells	7.097500648343658e-08	1.2438034251177437e-07	0.2841256434700841
Cardiomyocytes	9.901516483295829e-07	1.8291195215681907e-06	0.29414113218362115
Vascular.endothelial.cells	3.0373002396961377e-07	5.978896798511328e-07	0.30572545959075254
Schwann.cells	1.0282522144281092e-07	2.5164337487291764e-07	0.34141116323661835
Lymphatic.endothelial.cells	1.3595987472996772e-08	1.710040623904984e-07	0.4683147576403552
Epicardial.fat.cells	-1.4113662401506274e-08	1.6518666566016365e-07	0.5340444765632996
Smooth.muscle.cells	-1.1207153163619508e-07	9.629559359342122e-07	0.5463254265014527
Endocardial.cells	-3.709317369134064e-07	4.719520365787072e-07	0.7840522515112016
Myeloid.cells	-2.4913755575083705e-07	2.558301203450273e-07	0.8349319583930683
ELF3_AGBL2.positive.cells_Q_	-4.179076539371819e-07	3.4590647862249234e-07	0.886505627268984
Lymphoid.cells	-2.5193545554515706e-06	1.2159798042779696e-06	0.9808613118662439
