Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Heart_Unknown.10	9.939590793321604e-07	3.864978152297156e-07	0.0050599270464411926
Smooth.muscle.cells	1.691514861812757e-06	1.6604680896350085e-06	0.1541732755943167
Lymphatic.endothelial.cells	1.9578489445118e-07	3.176869093670964e-07	0.2688540311923079
Myeloid.cells	2.5103792102765555e-07	6.580563770230498e-07	0.3514221033338085
ELF3_AGBL2.positive.cells_Q_	6.163146255278097e-08	4.776436450271261e-07	0.4486660416875292
Erythroblasts	-1.653852312311243e-08	3.44582878897781e-07	0.5191401960286832
Schwann.cells	-6.771169453230459e-08	2.265096291670863e-07	0.6175052442565941
Epicardial.fat.cells	-8.337417768622432e-08	1.5810023063896143e-07	0.7010247670226507
Cardiomyocytes	-1.5394491386432014e-06	1.5213643244627527e-06	0.8442040131676426
Vascular.endothelial.cells	-5.545490994394108e-07	2.909503948616199e-07	0.9716743725021455
Cardiomyocytes_S_Vascular.endothelial.cells	-2.428751892549332e-07	1.088097896397719e-07	0.9871960832368831
Endocardial.cells	-1.207068277153143e-06	4.881970414217802e-07	0.993291456308726
Lymphoid.cells	-2.992589683403117e-06	4.1595827598671457e-07	0.9999999999996865
