Name	Coefficient	Coefficient_std_error	Coefficient_P_value
ELF3_AGBL2.positive.cells_Q_	1.5749042468742342e-06	1.2655545412978218e-06	0.10666919001896163
Endocardial.cells	4.4604165964582877e-07	4.560889618323227e-07	0.164044397870929
Schwann.cells	1.1403112803203956e-07	2.2033762383506798e-07	0.30239343678677066
Erythroblasts	2.3781525938808612e-07	4.7002319137002825e-07	0.30644062849166914
Vascular.endothelial.cells	2.385474502492172e-07	5.285691478230171e-07	0.32588381357654206
Heart_Unknown.10	-8.718789397667193e-08	7.524193084727422e-07	0.5461248834865864
Cardiomyocytes	-4.276168276665548e-07	1.8979811998126527e-06	0.5891273910274912
Myeloid.cells	-1.219567576226919e-07	4.705343380598777e-07	0.6022548262542746
Lymphoid.cells	-2.6890875277662027e-06	5.1270151154236775e-06	0.700032426861135
Cardiomyocytes_S_Vascular.endothelial.cells	-2.100707768065289e-07	1.0537218000976302e-07	0.9769025218332242
Epicardial.fat.cells	-2.908795664587143e-07	1.4266253216539476e-07	0.9792717201583819
Smooth.muscle.cells	-8.380171424842248e-07	4.0630747479397574e-07	0.9804208546746006
Lymphatic.endothelial.cells	-4.7230305091259453e-07	1.4520379834604524e-07	0.9994284107978308
