Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Cardiomyocytes	3.15412012057732e-06	2.3667663913081147e-06	0.09131995341834348
ELF3_AGBL2.positive.cells_Q_	2.9932705792047477e-07	3.9734553800931324e-07	0.22562979138116918
Myeloid.cells	2.510125064888953e-07	3.870832940931998e-07	0.2583400006857001
Erythroblasts	2.894114022104997e-07	4.878929959618931e-07	0.27652826672098707
Lymphoid.cells	1.1089324042508436e-06	3.953440484178491e-06	0.3895477050665388
Schwann.cells	2.7036743383897695e-08	1.8870208463423885e-07	0.4430355533444034
Heart_Unknown.10	-1.3163921620903854e-07	4.154917755142791e-07	0.6243127478906242
Epicardial.fat.cells	-1.057129502085998e-07	1.3666323391177126e-07	0.7803952606440347
Vascular.endothelial.cells	-2.839008597315887e-07	3.657442856932287e-07	0.7811927345999479
Lymphatic.endothelial.cells	-1.0323053407391879e-07	1.1309682872709439e-07	0.8193162441758244
Smooth.muscle.cells	-5.654512844574516e-07	5.085709183656311e-07	0.8668972837074006
Cardiomyocytes_S_Vascular.endothelial.cells	-9.276411894182877e-08	7.81745707734578e-08	0.8823127673593791
Endocardial.cells	-8.296808721416574e-07	4.718789967000763e-07	0.960647442085076
