Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Myeloid.cells	3.6592929340586163e-07	4.586429693128973e-07	0.21247813796052595
Cardiomyocytes	3.866673362968158e-07	9.51703104762078e-07	0.3422648116641346
Schwann.cells	4.3620717481044413e-08	2.8272431426526585e-07	0.4386916800279694
Cardiomyocytes_S_Vascular.endothelial.cells	9.817492516635902e-09	1.1164716029918557e-07	0.46496488293903737
Vascular.endothelial.cells	3.312677341717913e-08	5.289491554493929e-07	0.4750315576153332
Heart_Unknown.10	5.7582741148577216e-08	1.0693358652195402e-06	0.4785277072640513
Lymphoid.cells	-1.1500922197122154e-06	6.6590035207161665e-06	0.5685612364157681
Erythroblasts	-2.0504289596345732e-07	3.542441784724915e-07	0.7186439974434525
Smooth.muscle.cells	-3.80999417752302e-07	5.243611228484623e-07	0.766263682983578
Lymphatic.endothelial.cells	-1.1064355822982557e-07	1.4092951356947694e-07	0.7838021081564521
Endocardial.cells	-4.802779644728244e-07	5.331014138368707e-07	0.8161826959221652
Epicardial.fat.cells	-2.067576775921881e-07	1.0193578485769409e-07	0.9787358434957106
ELF3_AGBL2.positive.cells_Q_	-5.032845115927152e-07	2.2768104491468196e-07	0.986464084046194
