Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Heart_Unknown.10	6.000426471555916e-07	6.455626953685442e-07	0.17631817337455807
Lymphatic.endothelial.cells	3.3596534062443824e-07	4.1654515529680125e-07	0.2099623101417078
Cardiomyocytes_S_Vascular.endothelial.cells	1.5540793282900076e-07	1.9714873831909284e-07	0.21526717571877918
Myeloid.cells	4.26466669063893e-07	5.436837110663913e-07	0.2164020901411582
Schwann.cells	1.3006833791815325e-07	2.166818430511801e-07	0.27416203503754144
Smooth.muscle.cells	2.5320014919927284e-07	9.71263961994025e-07	0.3971652543954777
Lymphoid.cells	1.8469421526133678e-06	1.19395755523898e-05	0.4385325528782159
Cardiomyocytes	1.9387386185250018e-07	1.5060703065423592e-06	0.44878632297935284
Epicardial.fat.cells	-4.8781815520729774e-08	1.376349320393547e-07	0.6384913091962015
ELF3_AGBL2.positive.cells_Q_	-1.6292858685839218e-07	4.2465590248750405e-07	0.6493892224925226
Endocardial.cells	-4.926966104513838e-07	5.716855371177052e-07	0.8056098790598333
Erythroblasts	-4.18427972446089e-07	2.598573140375464e-07	0.9463253034580716
Vascular.endothelial.cells	-8.637844125453194e-07	2.523579323735324e-07	0.9996901634895128
