Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Endocardial.cells	8.939556738949385e-07	8.390437642013027e-07	0.1433371149449767
Erythroblasts	3.185552169936933e-07	3.8688532146441325e-07	0.20514480483536324
Cardiomyocytes_S_Vascular.endothelial.cells	6.23539077412025e-08	9.944253154501148e-08	0.26531827836037913
Schwann.cells	9.507317763071429e-08	1.9383962389408298e-07	0.31189947727574324
Myeloid.cells	1.867869625146719e-07	4.684346661859453e-07	0.34503978127009555
Lymphatic.endothelial.cells	3.555346303503334e-08	1.9191756790051233e-07	0.42651497772423397
Lymphoid.cells	1.5164224645384707e-06	1.135201842378871e-05	0.44686665889785604
Smooth.muscle.cells	-5.406135080271583e-08	5.144836614298628e-07	0.5418433786539836
ELF3_AGBL2.positive.cells_Q_	-9.421974837520213e-08	5.552348054984456e-07	0.5673744146347277
Vascular.endothelial.cells	-1.436125282802224e-07	3.5564611618774965e-07	0.6568228173954461
Epicardial.fat.cells	-1.7328867647373624e-07	1.4961827689729327e-07	0.8766098604565035
Cardiomyocytes	-1.7524226890949238e-06	6.012898313968881e-07	0.9982183592727234
Heart_Unknown.10	-3.8905470876860266e-07	1.2622975319068699e-07	0.998972325465299
