Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Lymphatic.endothelial.cells	3.163786427639088e-07	2.215078183124867e-07	0.07660339655755014
Lymphoid.cells	1.539356014673834e-06	1.100467990043081e-06	0.08093356799961293
Epicardial.fat.cells	2.416049521728433e-07	1.7539765063543752e-07	0.08418353561593883
Smooth.muscle.cells	9.364897397506369e-07	1.0492638537162838e-06	0.18605694351932867
Schwann.cells	5.015011874882456e-08	2.0137780310866723e-07	0.40166685870709123
Endocardial.cells	7.277339976221536e-08	1.055133571152952e-06	0.4725064337239839
Vascular.endothelial.cells	-3.2848328412730938e-09	3.010028385509094e-07	0.5043535559338378
Heart_Unknown.10	-1.2612449851938785e-07	1.024773677854699e-06	0.5489763307952021
ELF3_AGBL2.positive.cells_Q_	-2.5686124392840354e-08	1.7080724572725316e-07	0.5597678922602712
Myeloid.cells	-1.3721383009084023e-07	3.3092264494446006e-07	0.6607973407069777
Erythroblasts	-1.726002613618449e-07	2.3234376749540184e-07	0.771218562895061
Cardiomyocytes	-8.19927041589133e-07	7.273872730712262e-07	0.8701757149135936
Cardiomyocytes_S_Vascular.endothelial.cells	-9.345354215896481e-08	7.617280792936032e-08	0.8900628145402836
