Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Heart_Unknown.10	7.914638940465214e-07	3.4578744633838747e-07	0.011043337277073068
Schwann.cells	1.464880794376024e-07	2.1648105479591888e-07	0.2493049744324652
ELF3_AGBL2.positive.cells_Q_	3.9415483982894487e-07	8.91909651354426e-07	0.3292726859682703
Lymphatic.endothelial.cells	6.150109146465566e-08	1.5068172368715212e-07	0.3415809341536034
Myeloid.cells	1.3486462718804376e-07	3.411347871733249e-07	0.3462955583789491
Smooth.muscle.cells	1.3361133647226485e-08	3.30997683097038e-07	0.48390057035347256
Erythroblasts	-6.917370802943395e-08	3.122386537233175e-07	0.5876644473065245
Cardiomyocytes	-9.699762606221619e-07	9.09719530652372e-07	0.8568416497750978
Vascular.endothelial.cells	-3.556729968897617e-07	3.324712458294151e-07	0.8576421181933711
Endocardial.cells	-5.972689529641609e-07	5.372591596679465e-07	0.8668655975859574
Cardiomyocytes_S_Vascular.endothelial.cells	-1.4554252279668516e-07	8.770068451789317e-08	0.9514961750635285
Epicardial.fat.cells	-2.2118143725380296e-07	1.1102402985301247e-07	0.9768251272180063
Lymphoid.cells	-1.938025583723081e-06	9.586352440486974e-07	0.9783937732923063
