Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Lymphoid.cells	4.859152207629617e-06	1.7359664165072435e-06	0.0025622238565289053
Vascular.endothelial.cells	8.449084955269743e-07	4.528146791018725e-07	0.03102743377740461
Myeloid.cells	5.59837087175677e-07	4.4855481199544393e-07	0.10599892269443834
ELF3_AGBL2.positive.cells_Q_	1.0692274139840292e-06	1.632996593058242e-06	0.25630984965810333
Cardiomyocytes_S_Vascular.endothelial.cells	6.021615866508382e-08	9.43001477841991e-08	0.2615551007720964
Endocardial.cells	4.399403124675073e-07	8.411037981237942e-07	0.30046932785086444
Epicardial.fat.cells	6.131880636780502e-08	1.4456017874390775e-07	0.33571911464532567
Erythroblasts	1.0287761151292668e-08	5.553158038456484e-07	0.4926096320179374
Smooth.muscle.cells	-8.419185263295687e-08	5.610265132754545e-07	0.5596443240565433
Lymphatic.endothelial.cells	-4.463701629005594e-08	1.99495640339199e-07	0.5885238212778978
Schwann.cells	-1.1941895425313358e-07	1.7504949367327926e-07	0.7524440951768532
Cardiomyocytes	-8.330754021897244e-07	8.184499274839218e-07	0.8456300643977556
Heart_Unknown.10	-5.583167060378921e-07	3.41586898827652e-07	0.9489208725407117
