Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Schwann.cells	2.1697511170674468e-07	1.6185402526453847e-07	0.09003159590163884
ELF3_AGBL2.positive.cells_Q_	4.634020696425566e-07	3.978112850466988e-07	0.12203395814989898
Smooth.muscle.cells	9.262005215025739e-07	1.2996194208160275e-06	0.23802481397951974
Cardiomyocytes	3.4476574717994957e-07	5.600597007649537e-07	0.2690834039351524
Heart_Unknown.10	1.400451812040676e-07	3.846733052851207e-07	0.357905615005531
Lymphoid.cells	2.705343161292004e-07	3.1651637763433153e-06	0.4659428968123459
Lymphatic.endothelial.cells	4.145454274942727e-09	1.1378390880967873e-07	0.48546867291628165
Myeloid.cells	-3.3623729522607344e-08	4.916226950327183e-07	0.5272637475567605
Cardiomyocytes_S_Vascular.endothelial.cells	-1.3586138761787931e-08	8.51168259672523e-08	0.5634088211892413
Epicardial.fat.cells	-3.609201840466831e-08	1.1365705189929138e-07	0.6245875862435899
Vascular.endothelial.cells	-3.4823516311366746e-07	3.448003343937159e-07	0.8437432016914065
Endocardial.cells	-9.486827379689653e-07	5.902865417544051e-07	0.9459899578750588
Erythroblasts	-4.439649815212284e-07	2.633167058851588e-07	0.9541068603444938
