Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Lymphatic.endothelial.cells	2.8313150935848893e-06	2.7833861590015033e-06	0.15452447519181572
Cardiomyocytes	8.93754593531709e-06	9.877779827473091e-06	0.18278216904073813
ELF3_AGBL2.positive.cells_Q_	3.0328811216582956e-06	6.256493894211984e-06	0.31392425571929194
Cardiomyocytes_S_Vascular.endothelial.cells	1.2751639082043725e-07	3.8771320362520354e-07	0.37111805643511075
Myeloid.cells	7.471920711626936e-07	2.3134889906583043e-06	0.3733582392739313
Heart_Unknown.10	-5.834491262379778e-08	1.1725190311389465e-06	0.5198433029770199
Lymphoid.cells	-6.489292607111498e-07	4.046704485483244e-06	0.5637012250806867
Smooth.muscle.cells	-3.733820495464601e-07	1.6657028745016782e-06	0.5886831512110803
Vascular.endothelial.cells	-8.755899529341632e-07	9.625699369903949e-07	0.8184932087089443
Epicardial.fat.cells	-6.513657193093792e-07	3.8779056849952937e-07	0.9534906193963804
Erythroblasts	-1.4520052480620884e-06	6.749774991581592e-07	0.9842694204655454
Schwann.cells	-9.358497688251934e-07	3.352804157603689e-07	0.9973747140324869
Endocardial.cells	-2.3827068980809796e-06	7.123222996841643e-07	0.9995885638361083
