Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Lymphatic.endothelial.cells	9.7810931180559e-07	6.942822390087961e-07	0.07944620043311468
ELF3_AGBL2.positive.cells_Q_	3.020659505686672e-06	2.6940978991607693e-06	0.13109845223979222
Smooth.muscle.cells	7.75955282271338e-06	8.45490678903851e-06	0.1793729585838757
Endocardial.cells	2.7843407780702026e-06	3.096235324606151e-06	0.18425535688646855
Cardiomyocytes	1.3530530081843661e-05	2.067523459696181e-05	0.25641684040918333
Myeloid.cells	8.654894962854627e-07	1.5617437424433683e-06	0.2897273175439028
Schwann.cells	-1.9336204050020506e-08	6.650471343336746e-07	0.511597587949193
Epicardial.fat.cells	-2.2467663463314547e-07	8.775295756817977e-07	0.6010373680817493
Erythroblasts	-6.894507935073131e-07	1.883474702492739e-06	0.6428370832937524
Lymphoid.cells	-5.4748470811278356e-06	1.1988072896419638e-05	0.6760534820888802
Heart_Unknown.10	-1.478090132626165e-06	1.3835820964927775e-06	0.8573089241437253
Vascular.endothelial.cells	-1.2354206131344112e-06	1.0321146146792407e-06	0.8843428365107726
Cardiomyocytes_S_Vascular.endothelial.cells	-1.2419500030891425e-06	4.277767804518031e-07	0.9981535389032079
