Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Smooth.muscle.cells	1.1868704436872978e-05	8.228503297004912e-06	0.07459630188004526
Epicardial.fat.cells	2.413462541852949e-07	4.4160723860725024e-07	0.29235499844922447
Cardiomyocytes_S_Vascular.endothelial.cells	1.5017385964376145e-07	3.471507214839001e-07	0.3326564020566338
Lymphatic.endothelial.cells	1.92954490328714e-07	4.632294153237881e-07	0.3385067335741798
Cardiomyocytes	9.054639349177329e-08	2.4957986633576578e-06	0.48552973737945415
Heart_Unknown.10	-1.3412076459377845e-09	1.4407272019250065e-06	0.5003713849219786
ELF3_AGBL2.positive.cells_Q_	-1.6733152199864895e-07	1.996329205435173e-06	0.5334000691451557
Schwann.cells	-2.447336480031234e-07	4.135581113665253e-07	0.7229996071130232
Lymphoid.cells	-4.047841275210325e-06	5.690251876355417e-06	0.761570700426327
Myeloid.cells	-8.06857980401018e-07	7.416861527998591e-07	0.8616737090971431
Vascular.endothelial.cells	-1.1630751159433977e-06	7.228626826238021e-07	0.9461901744681993
Endocardial.cells	-1.988174202637398e-06	8.587183145889535e-07	0.9897012207078281
Erythroblasts	-1.6340618440392172e-06	5.677699865740403e-07	0.9979991957526748
