Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Erythroblasts	2.6844217960609802e-05	1.1787116236956542e-05	0.011380569087729405
Myeloid.cells	1.4578188638683817e-06	1.7524924764934147e-06	0.20274552059070378
Lymphatic.endothelial.cells	1.295364031104886e-06	2.337405836966157e-06	0.2897248365920475
Epicardial.fat.cells	1.0475279651966296e-06	1.959637111046321e-06	0.29647983640621106
Endocardial.cells	2.402780065189612e-06	4.715479216470292e-06	0.30518281336625397
Heart_Unknown.10	1.5127606234436654e-06	4.959413609434149e-06	0.3801723667252239
Lymphoid.cells	-4.787754598688749e-06	2.3411852620815767e-05	0.5810191169411287
Schwann.cells	-5.139634492425353e-07	1.2132944915639212e-06	0.6640748001797797
Cardiomyocytes_S_Vascular.endothelial.cells	-6.105307964048383e-07	8.036207156621446e-07	0.7762905269914921
Cardiomyocytes	-4.917791367401849e-06	6.143065330004716e-06	0.7883020309186591
Smooth.muscle.cells	-2.1140326877695516e-06	1.7378465243531957e-06	0.88809643420215
ELF3_AGBL2.positive.cells_Q_	-2.49022296625938e-06	1.6764149868278001e-06	0.9312870644218
Vascular.endothelial.cells	-1.9932961932757745e-06	7.248537481228264e-07	0.997019589183752
