Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Epicardial.fat.cells	2.2307399058501209e-07	2.2527665510895814e-07	0.16103271253907664
Schwann.cells	2.3672381441949742e-07	2.6588849094741237e-07	0.18664908850274242
Erythroblasts	2.402801891380447e-07	4.117727639800528e-07	0.27976956823884436
Cardiomyocytes	6.460125978474953e-07	1.2359648661255347e-06	0.30059890673504847
Lymphoid.cells	6.2983131707355546e-06	1.2126055044251145e-05	0.30173976054458723
Myeloid.cells	1.0693794836215731e-07	3.5521134117292687e-07	0.3816864941762851
ELF3_AGBL2.positive.cells_Q_	1.037075751242612e-07	5.704309982995461e-07	0.42786762745233886
Cardiomyocytes_S_Vascular.endothelial.cells	-2.2285975639156547e-08	9.896520136367174e-08	0.5890842733789379
Smooth.muscle.cells	-3.1714559501705603e-07	5.850331749344512e-07	0.7061246671872876
Endocardial.cells	-5.143751319055023e-07	7.420976998456781e-07	0.7558881079806938
Lymphatic.endothelial.cells	-1.8331703527920627e-07	2.6266214975334656e-07	0.7573862295275202
Vascular.endothelial.cells	-2.986498287825539e-07	3.742897025189436e-07	0.7875388976498822
Heart_Unknown.10	-4.1850936218223397e-07	2.8320108191520343e-07	0.9302668842857845
