Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Epicardial.fat.cells	3.881568888495504e-07	2.327619153124336e-07	0.04769624828372751
Cardiomyocytes	4.015955941653851e-06	3.4885140460035004e-06	0.12482624582796442
Smooth.muscle.cells	4.300349068157492e-07	6.792423644739009e-07	0.2633310151226961
Lymphoid.cells	1.0406616878337652e-05	1.9954488319172837e-05	0.30100312377327804
ELF3_AGBL2.positive.cells_Q_	5.87300761783941e-07	1.2952477539076788e-06	0.32512052158011256
Endocardial.cells	2.398570344038524e-07	6.159096443702394e-07	0.34847703527011126
Heart_Unknown.10	1.9581675137753895e-07	1.3128727698947344e-06	0.4407171021690709
Erythroblasts	-2.6692946635350367e-10	2.2944935212916534e-07	0.5004641086366344
Schwann.cells	-3.071909316386648e-08	2.0923730529834145e-07	0.5583608233343584
Lymphatic.endothelial.cells	-1.3761445008150423e-07	1.6180127760364423e-07	0.8024806503712072
Cardiomyocytes_S_Vascular.endothelial.cells	-1.6724513524057173e-07	1.0438641328925103e-07	0.9454413653555224
Vascular.endothelial.cells	-4.49733351498612e-07	2.0852811157977558e-07	0.9844856210576022
Myeloid.cells	-6.432696425719037e-07	2.122897659098906e-07	0.9987778348033994
