Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Heart_Unknown.10	4.7004719497915816e-07	2.716880073012344e-07	0.041806279570106096
Lymphatic.endothelial.cells	3.7583210191840055e-07	2.414736559626809e-07	0.059805270577554547
Cardiomyocytes_S_Vascular.endothelial.cells	9.408133552380077e-08	9.574999623941767e-08	0.16290888482002674
Vascular.endothelial.cells	4.5290629529328066e-07	5.105651960128262e-07	0.18752101485527312
Endocardial.cells	6.805429717636487e-07	9.262855944145721e-07	0.23126079925013976
Lymphoid.cells	1.1377403698938526e-06	3.1484060423550973e-06	0.35891133144968246
Myeloid.cells	1.1276099226549062e-07	4.0671994179529096e-07	0.390796067789118
Smooth.muscle.cells	-5.3421093357726034e-08	6.647368434459332e-07	0.5320262296265306
Cardiomyocytes	-1.4825155818359464e-07	1.5056768136268737e-06	0.5392171741240647
ELF3_AGBL2.positive.cells_Q_	-8.209669091388052e-08	2.9242398859738675e-07	0.610547159481772
Schwann.cells	-6.134742802007967e-08	1.788106423251236e-07	0.6342331184559025
Epicardial.fat.cells	-1.447244281062175e-07	1.1546944127787558e-07	0.8949620865513602
Erythroblasts	-5.045724708307389e-07	3.752323518250517e-07	0.910637868217965
