Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Lymphatic.endothelial.cells	5.011865315102074e-07	3.669886592386693e-07	0.08602079916387473
Smooth.muscle.cells	8.556547622752115e-07	1.0411030059706731e-06	0.20557450542705613
Heart_Unknown.10	1.8579370632245853e-07	2.2776790652565582e-07	0.2073315683198389
Myeloid.cells	3.1071046626430065e-07	3.9889342238986403e-07	0.21801017056306504
Endocardial.cells	9.606160842589645e-08	7.886813780280294e-07	0.45152859823049746
Cardiomyocytes	-7.824413791523784e-08	2.1192277331177974e-06	0.5147260268111635
Vascular.endothelial.cells	-6.56561216199852e-08	6.066378131418988e-07	0.5430931870406046
ELF3_AGBL2.positive.cells_Q_	-2.2004793932840857e-07	7.980792750723895e-07	0.6086191657097664
Lymphoid.cells	-8.14516896182109e-07	2.6793362728974773e-06	0.619435865221718
Erythroblasts	-1.6615082238601584e-07	4.6681367162059305e-07	0.6390517669622827
Cardiomyocytes_S_Vascular.endothelial.cells	-4.235140444759564e-08	1.1835494815309391e-07	0.6397661641837477
Epicardial.fat.cells	-8.774983029235034e-08	1.4096779473452692e-07	0.7331873149229811
Schwann.cells	-2.1815877201616044e-07	1.8497493511765905e-07	0.8808798154224738
