Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Endocardial.cells	6.358026174837938e-07	5.88236757230871e-07	0.13987930520443548
Lymphatic.endothelial.cells	1.3442232686481064e-07	1.9585300671086573e-07	0.24624844109491745
Lymphoid.cells	7.723353954155862e-06	1.2248994914369564e-05	0.26417406898472384
Cardiomyocytes	1.4458831924068757e-06	2.721893059842316e-06	0.29763836558608664
Myeloid.cells	1.250141177728129e-07	4.113401792577374e-07	0.38059478085657583
Smooth.muscle.cells	1.690442444972482e-07	6.66704779065898e-07	0.3999208913082439
Cardiomyocytes_S_Vascular.endothelial.cells	2.239323095654159e-08	8.927323783008165e-08	0.40096920179444884
ELF3_AGBL2.positive.cells_Q_	3.2145512078876706e-08	3.2525679842799206e-07	0.4606361571677919
Erythroblasts	8.543645476437057e-09	3.2833386686947326e-07	0.48962020933597145
Vascular.endothelial.cells	-1.0345316359577534e-07	4.087264814218716e-07	0.5999087760106103
Heart_Unknown.10	-1.5623549019334424e-07	2.475027195788421e-07	0.7360606685790946
Schwann.cells	-9.511266598704989e-08	1.460525150375496e-07	0.7425485262309132
Epicardial.fat.cells	-2.608472986998254e-07	8.57161535553726e-08	0.9988294304246605
