Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Cardiomyocytes	1.4170389765709276e-06	7.896021463404207e-07	0.03635681189272332
Myeloid.cells	1.5177578198481052e-06	9.167718674049549e-07	0.048906916460879156
Endocardial.cells	6.183614189717503e-06	4.314980863816315e-06	0.07592075250098652
Smooth.muscle.cells	7.784258565754869e-07	7.452358093286613e-07	0.14811866631679604
Epicardial.fat.cells	3.25287392017288e-07	3.1228076094855736e-07	0.1487868871074371
Lymphatic.endothelial.cells	8.456591146118166e-07	1.1274810812076244e-06	0.22661445121110635
Lymphoid.cells	3.2810935696734535e-06	4.61342385046596e-06	0.23847837296951974
Cardiomyocytes_S_Vascular.endothelial.cells	1.2276724454307408e-07	2.147832982713916e-07	0.2838010546657398
Vascular.endothelial.cells	4.1620290583671554e-07	9.314842383247319e-07	0.327503631665634
ELF3_AGBL2.positive.cells_Q_	9.790127440920527e-08	6.122085016935788e-07	0.4364740471179597
Heart_Unknown.10	-1.05726732754203e-07	4.570379672991546e-07	0.5914708977701479
Schwann.cells	-2.7381573094666374e-07	2.5891514339583374e-07	0.8548696945535896
Erythroblasts	-1.132368704449617e-06	4.446708035282213e-07	0.9945600478080873
