Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Myeloid.cells	4.7057397790204936e-07	3.3590226736815837e-07	0.08061820914526602
Heart_Unknown.10	1.6511534552315354e-06	1.898700130913171e-06	0.19225321036821408
Schwann.cells	1.6433278538514798e-07	1.9390188384982091e-07	0.19835689474702461
Lymphatic.endothelial.cells	1.7511892882400064e-07	2.2175652755025375e-07	0.21485439457782218
Smooth.muscle.cells	7.503722674914203e-07	9.708773719988014e-07	0.21979652907435748
Vascular.endothelial.cells	2.602288551215375e-07	5.403295091219031e-07	0.3150410106734589
Epicardial.fat.cells	7.573132643233472e-08	1.5766784613549004e-07	0.3154992436390678
Lymphoid.cells	3.6245948823453623e-06	1.762629924479428e-05	0.418537777702921
Cardiomyocytes	1.976408985178748e-07	1.460911818452275e-06	0.4461928816520231
ELF3_AGBL2.positive.cells_Q_	-9.174550273551149e-08	2.607470247420948e-07	0.6375270110644873
Erythroblasts	-2.3438025936601358e-07	2.279046468418639e-07	0.848122364793831
Cardiomyocytes_S_Vascular.endothelial.cells	-1.3060946973996828e-07	7.764813003043179e-08	0.9537222163001786
Endocardial.cells	-8.348733949716554e-07	3.409642433448992e-07	0.9928286890633002
