Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Cardiomyocytes_S_Vascular.endothelial.cells	9.748175314804102e-08	9.394764088293471e-08	0.14972399222648825
Lymphatic.endothelial.cells	3.2421028131764734e-07	3.1388797700226505e-07	0.15082878640640796
Lymphoid.cells	1.4297328164378827e-06	2.627630470090819e-06	0.29318121356679894
Smooth.muscle.cells	7.114356274549437e-07	1.4282977047780354e-06	0.30920664687728283
Schwann.cells	7.109707468815885e-08	2.434935587618002e-07	0.3851480919013167
Endocardial.cells	-1.9154915025458378e-07	7.585607691240876e-07	0.5996790892251709
ELF3_AGBL2.positive.cells_Q_	-8.662488307468416e-08	3.1868149017734006e-07	0.6071208490475218
Vascular.endothelial.cells	-7.858541975219683e-08	2.5644402652789405e-07	0.6203662288885095
Epicardial.fat.cells	-7.687274505052907e-08	1.0219309756803258e-07	0.7740437142631125
Myeloid.cells	-1.8868486715094367e-07	2.3417181345225016e-07	0.7898076366931845
Cardiomyocytes	-1.0202929855917987e-06	7.532111551396014e-07	0.9122260347290198
Erythroblasts	-3.8904827739224317e-07	2.5308974391263816e-07	0.9378772122392616
Heart_Unknown.10	-5.676852031169657e-07	3.6389432384943876e-07	0.9406233251611105
