Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Lymphoid.cells	6.184536610466553e-06	3.2987910532087474e-07	1.0071606215094387e-78
Lymphatic.endothelial.cells	3.970757827359165e-07	2.8620965729045956e-07	0.08266603311217052
Vascular.endothelial.cells	8.037068847633704e-07	6.218396198623603e-07	0.09809781787489574
Endocardial.cells	1.0083046109978524e-06	9.642675947253266e-07	0.1478569689149526
Cardiomyocytes	5.90384837892959e-06	7.562152699218701e-06	0.21748653323675332
Smooth.muscle.cells	-6.159920992807573e-08	1.0285930298329495e-06	0.523877128564887
Heart_Unknown.10	-5.8880773757110024e-08	4.771386388243796e-07	0.5491063695902717
Schwann.cells	-4.458228912517029e-08	2.2099797209672447e-07	0.5799367472469944
Epicardial.fat.cells	-2.9769725554158742e-08	1.381532703994354e-07	0.5853047428414949
Cardiomyocytes_S_Vascular.endothelial.cells	-5.033431271511512e-08	1.2713903124839116e-07	0.6539105131370517
Erythroblasts	-2.3099695158710159e-07	4.6806781070995457e-07	0.6891744705608975
Myeloid.cells	-4.4423142292510294e-07	3.662216573165234e-07	0.8874374661381215
ELF3_AGBL2.positive.cells_Q_	-6.098128292016605e-07	2.460457454430675e-07	0.9934023262691881
