Name	Coefficient	Coefficient_std_error	Coefficient_P_value
ELF3_AGBL2.positive.cells_Q_	4.251047798027011e-06	1.7104614925808357e-06	0.006471712606735784
Erythroblasts	2.3892533493542523e-05	1.0699116291500254e-05	0.012770137311768766
Myeloid.cells	2.614764847048018e-06	1.764672155237893e-06	0.06920628875130819
Smooth.muscle.cells	2.0885623944460203e-05	2.1695703499683036e-05	0.16785864845256987
Vascular.endothelial.cells	2.30121865103069e-06	3.863717614521511e-06	0.2757222379644789
Lymphatic.endothelial.cells	1.6101072448365036e-06	3.135312257122934e-06	0.30378693176421356
Cardiomyocytes_S_Vascular.endothelial.cells	2.895538274143282e-07	6.830070741679271e-07	0.33580488801992
Epicardial.fat.cells	4.412077140222875e-07	1.05841294051611e-06	0.3383912026589704
Cardiomyocytes	3.6428301472186165e-06	9.151884256401956e-06	0.3452997810781065
Lymphoid.cells	9.625480717495448e-07	3.520360887148619e-05	0.48909335452409103
Heart_Unknown.10	-3.011531902946166e-07	3.0226856673126836e-06	0.5396813583753124
Endocardial.cells	-1.0195376381139783e-06	4.416936953614985e-06	0.5912744594675055
Schwann.cells	-8.6860807796587e-07	7.462322006101059e-07	0.8777863096328493
