Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Heart_Unknown.10	9.799947098130302e-07	1.8956567989410817e-07	1.1724492214523895e-07
Erythroblasts	5.951497773831278e-07	5.115011541171891e-07	0.12230614133657514
Smooth.muscle.cells	3.1509304278279997e-07	4.316736969536488e-07	0.23271545220126805
Myeloid.cells	3.1294221768624427e-07	4.366553583847893e-07	0.23678574545146153
Endocardial.cells	3.4403411983379213e-07	4.884417733320237e-07	0.2406073178819627
Vascular.endothelial.cells	2.503952071201128e-07	4.717840381894419e-07	0.2977990800521959
Cardiomyocytes_S_Vascular.endothelial.cells	3.7507448805454254e-08	9.564293315135796e-08	0.34746954998047574
ELF3_AGBL2.positive.cells_Q_	4.836894501338384e-08	4.330494510325229e-07	0.4555330920136421
Lymphoid.cells	3.8842366779140274e-08	8.899455241554822e-06	0.4982587908180418
Lymphatic.endothelial.cells	-1.5953716903562163e-08	1.634385895643142e-07	0.5388801650002678
Schwann.cells	-8.481795052629781e-08	1.6917795967585168e-07	0.6919387960520078
Cardiomyocytes	-4.346388697631062e-07	6.498740452186538e-07	0.7481899923596613
Epicardial.fat.cells	-1.0549869034359574e-07	1.4980175070536698e-07	0.7593631289181915
