Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Lymphatic.endothelial.cells	1.5627912413301995e-06	9.102569105256013e-07	0.043001618357920116
Myeloid.cells	1.7228897549495182e-06	1.4845756797502744e-06	0.12291720921357924
Smooth.muscle.cells	2.10719143595467e-06	3.340475552697429e-06	0.2640837472092394
Erythroblasts	4.112189918602456e-07	1.7015141171386002e-06	0.4045147334330234
Lymphoid.cells	1.5864608907087237e-06	2.381307263379141e-05	0.4734415435033607
Vascular.endothelial.cells	1.7511274312614296e-08	1.322192686905931e-06	0.4947165163216073
Heart_Unknown.10	2.2259030054652442e-08	2.1757240223432392e-06	0.4959186398577335
ELF3_AGBL2.positive.cells_Q_	-1.7303281193330308e-07	1.9111229150719317e-06	0.53607089208357
Endocardial.cells	-7.042317007023902e-07	1.6828464461684996e-06	0.6622006197548856
Epicardial.fat.cells	-4.4572651222682156e-07	3.561584418924128e-07	0.8946209856569394
Cardiomyocytes_S_Vascular.endothelial.cells	-6.052869997014318e-07	4.7641276835440663e-07	0.8980484187475548
Schwann.cells	-8.511597401494098e-07	4.348143277616036e-07	0.974857088388754
Cardiomyocytes	-4.890149274588644e-06	2.193114851409184e-06	0.9871187566714368
