Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Endocardial.cells	4.531444753788454e-06	4.280739999917696e-06	0.14489879571865072
Myeloid.cells	1.009393139359486e-06	1.03921490977443e-06	0.16569856877530298
Smooth.muscle.cells	3.3607453331187446e-07	1.016725936546248e-06	0.3704937792234875
Lymphatic.endothelial.cells	6.953871654421116e-08	2.1631845095642567e-07	0.37392918103220096
Lymphoid.cells	2.1706923767028117e-06	8.788756341645538e-06	0.4024598551218278
Heart_Unknown.10	1.7420649542220753e-07	8.840496250951609e-07	0.4218922061165091
Cardiomyocytes_S_Vascular.endothelial.cells	-1.6748092551241285e-08	1.2150849490095088e-07	0.5548144885142873
Vascular.endothelial.cells	-2.0946602196905903e-07	5.05483778318549e-07	0.6607047296723035
Cardiomyocytes	-4.5862463426496746e-07	8.275681196282988e-07	0.7102733807386306
ELF3_AGBL2.positive.cells_Q_	-3.516640664555869e-07	5.070501280382603e-07	0.7560174302442333
Epicardial.fat.cells	-1.4940234891044e-07	2.1281840265946141e-07	0.7586660302223771
Erythroblasts	-3.637034157157542e-07	3.777498407244017e-07	0.8321799488657011
Schwann.cells	-4.2532037697283633e-07	2.06669937892802e-07	0.9802034573253698
