Name	Coefficient	Coefficient_std_error	Coefficient_P_value
ELF3_AGBL2.positive.cells_Q_	1.2036355730043866e-06	7.732525815181912e-07	0.05978418521540763
Schwann.cells	1.6842066491483777e-07	2.257108474388475e-07	0.22777968549985644
Cardiomyocytes	1.3724297458819618e-06	3.021020139905699e-06	0.32480880489783004
Lymphoid.cells	4.297064510448093e-06	1.0697808733404063e-05	0.3439608495061187
Lymphatic.endothelial.cells	2.4944641737972738e-08	1.0958342315955129e-07	0.40996635489505434
Epicardial.fat.cells	-4.375115393560697e-09	1.399466195259143e-07	0.5124699992247947
Endocardial.cells	-3.721182317412989e-08	5.489788810904454e-07	0.5270210927434186
Vascular.endothelial.cells	-2.5415057181639163e-08	3.2902828707203873e-07	0.5307847922027037
Cardiomyocytes_S_Vascular.endothelial.cells	-3.175434519743125e-08	9.430221485468092e-08	0.6318396186573212
Erythroblasts	-1.6035094245201196e-07	4.322113150122138e-07	0.6446817033785154
Heart_Unknown.10	-1.4937372719229465e-07	2.793852687269889e-07	0.7035545357173354
Myeloid.cells	-3.007946685457958e-07	2.2586495825446834e-07	0.9085281033450319
Smooth.muscle.cells	-6.448885682307757e-07	4.1761763821142833e-07	0.9387310446929882
