Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Cardiomyocytes_S_Vascular.endothelial.cells	4.331049197075943e-07	5.360029617282893e-07	0.20953749033806113
ELF3_AGBL2.positive.cells_Q_	3.3709837967065264e-06	4.218915356316982e-06	0.21214036629374944
Myeloid.cells	4.677954162169629e-06	6.088522375541684e-06	0.2211475404551474
Lymphoid.cells	8.327882940271159e-06	2.5181100184073848e-05	0.37042815459546796
Endocardial.cells	2.202981909602146e-07	2.06719412172298e-06	0.4575655753144747
Lymphatic.endothelial.cells	-6.330872907205595e-08	8.044229956252047e-07	0.5313646933387617
Cardiomyocytes	-1.0128600388961216e-06	7.570297834220281e-06	0.5532172437328937
Smooth.muscle.cells	-7.809018312729966e-07	1.908443859452914e-06	0.6587971323332241
Heart_Unknown.10	-6.156509501105837e-07	1.028809178603379e-06	0.7252172076511372
Schwann.cells	-5.085748916146902e-07	7.671938116214372e-07	0.7463035815302017
Vascular.endothelial.cells	-9.880562930086434e-07	9.662188846307184e-07	0.8467517060870234
Erythroblasts	-1.1450383699349888e-06	9.56440954388325e-07	0.8843830996109852
Epicardial.fat.cells	-7.699178596468505e-07	4.572519429090893e-07	0.9538892102570622
