Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Epicardial.fat.cells	1.0427797720229925e-07	1.492650849583404e-07	0.24239811363189034
Cardiomyocytes_S_Vascular.endothelial.cells	2.6790161678216927e-08	9.15839289425002e-08	0.3849444067597564
ELF3_AGBL2.positive.cells_Q_	1.7397527257626566e-07	1.1375972797478048e-06	0.43922586513522716
Myeloid.cells	-1.4735939532805221e-08	4.047143826454313e-07	0.514522564241878
Heart_Unknown.10	-3.30751799698579e-08	8.689385212378325e-07	0.5151816288341102
Vascular.endothelial.cells	-2.8444828902684493e-08	2.507108737827584e-07	0.5451657559287283
Erythroblasts	-7.869904351074181e-08	3.6223871301541895e-07	0.5859961257135669
Smooth.muscle.cells	-4.3243720907283855e-07	4.084489470288847e-07	0.8551386503298614
Lymphoid.cells	-3.724232747197276e-06	3.2661269135993432e-06	0.8729109295601551
Lymphatic.endothelial.cells	-2.0232123487540694e-07	1.31099470909249e-07	0.938616763160408
Endocardial.cells	-1.0181842366234383e-06	5.087772719809606e-07	0.9773166077938136
Cardiomyocytes	-8.091799099187476e-07	3.55352595147163e-07	0.9886104199685817
Schwann.cells	-4.872389462459754e-07	1.3235478596177294e-07	0.9998839804888123
