Name	Coefficient	Coefficient_std_error	Coefficient_P_value
ELF3_AGBL2.positive.cells_Q_	6.63616195398378e-06	9.471319889975182e-06	0.24175804195409656
Lymphoid.cells	3.8149916934512815e-06	1.9304972451311994e-05	0.421672347210782
Myeloid.cells	3.918643574202829e-08	1.3582160674369878e-06	0.48849155312108183
Cardiomyocytes_S_Vascular.endothelial.cells	-1.152802566492885e-08	3.642166290980927e-07	0.5126250387718494
Schwann.cells	-5.6242627663916236e-08	7.246536396314981e-07	0.5309320959705904
Lymphatic.endothelial.cells	-5.0110183455419525e-08	5.397791223622035e-07	0.5369825219091555
Smooth.muscle.cells	-1.1827736595802745e-06	4.558753738219381e-06	0.6023563954521824
Epicardial.fat.cells	-5.610288029398245e-07	6.104575630585771e-07	0.8209600547768652
Vascular.endothelial.cells	-1.7568925715141737e-06	1.4534001794149013e-06	0.8866331200167183
Heart_Unknown.10	-9.639566440687306e-07	7.388428197596809e-07	0.903999819067029
Erythroblasts	-1.9037507763495602e-06	1.1939288076479414e-06	0.9445908874264428
Cardiomyocytes	-1.683186555538461e-06	8.750771734322428e-07	0.9727896083914707
Endocardial.cells	-3.6550559687776795e-06	1.385620414164712e-06	0.9958283008839588
