Name	Coefficient	Coefficient_std_error	Coefficient_P_value
ENS.glia	1.7587450581302493e-07	9.425165961924007e-08	0.031020008116653335
Mesothelial.cells	1.9110933223353067e-07	1.4020310794292416e-07	0.08642721128788328
ENS.neurons	1.6531627035750656e-07	1.5825682692308421e-07	0.1481022029541998
Lymphoid.cells	1.8122146114235951e-07	4.3623472915881416e-07	0.338916537803875
Stromal.cells	6.406904224330158e-08	1.7514057113928896e-07	0.35725157541930164
Smooth.muscle.cells	5.1090293359299717e-08	1.5753963289999147e-07	0.3728550023614727
Intestine_Unknown.8	1.509201745854079e-07	9.544146271049723e-07	0.4371777629291397
Chromaffin.cells	3.3985127390843243e-08	2.3916381708829e-07	0.44350059333428193
Vascular.endothelial.cells	-2.8299165565009652e-08	9.741798015107457e-08	0.6142801500299327
Myeloid.cells	-1.660246816986753e-07	4.5397117764907475e-07	0.6427116273997849
Lymphatic.endothelial.cells	-6.782659818025663e-08	1.0504488627106485e-07	0.7407604414293266
Intestine_Unknown.4	-1.3696649490427614e-06	1.336946143618172e-06	0.8471939923151146
Intestinal.epithelial.cells	-1.0307878766887832e-07	6.101525404481928e-08	0.9544279991962628
