Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Smooth.muscle.cells	3.015694999726472e-07	2.615994860745032e-07	0.12449811570685582
ENS.neurons	1.343826338993185e-07	1.25598773998297e-07	0.14232408728080964
Chromaffin.cells	3.033264976713685e-07	3.26208704512082e-07	0.17622331839629735
Intestine_Unknown.4	1.1700862486687974e-06	2.427521232381236e-06	0.3148998983128287
Myeloid.cells	4.266597889676821e-07	1.1360969902403472e-06	0.3536262039523237
Vascular.endothelial.cells	4.383205980074202e-08	1.2577834530506565e-07	0.36373741198008613
Lymphoid.cells	1.255986939273418e-07	5.237785143324407e-07	0.40524516515977094
Stromal.cells	3.9182973992281014e-08	1.7996804588053587e-07	0.4138229232118903
Intestine_Unknown.8	2.222137187128346e-07	3.126604790048657e-06	0.47167026916439087
ENS.glia	-8.196520700911804e-09	9.379476077029285e-08	0.5348183790771874
Intestinal.epithelial.cells	-1.4133576593871167e-08	5.417691217442589e-08	0.6029067906252403
Lymphatic.endothelial.cells	-6.813010112966669e-08	8.290281534492398e-08	0.7944065813466192
Mesothelial.cells	-1.2990625403027168e-07	1.1483128645123823e-07	0.8710312168986398
